director_name,director_avg_score,director_movie_count
john g. avildsen,6.805868785950482,2.0
anne fletcher,6.254108150165338,5.0
bruce beresford,6.837897944628153,4.0
sam taylor-johnson,6.234440214521911,2.0
ken kwapis,6.3490090557392636,4.0
wes craven,6.136072100110225,10.0
etan cohen,6.390180250275563,1.0
nick cassavetes,6.737897944628153,4.0
nicholas stoller,6.454108150165338,5.0
mark a.z. dippé,6.25684691694223,1.0
cal brunker,6.373513583608896,1.0
nimród antal,6.455135187706672,3.0
alejandro agresti,6.523513583608896,1.0
peter hedges,6.577297357379054,2.0
paul weiland,6.356846916942229,1.0
colin strause,5.920154500236197,2.0
joan chen,6.30684691694223,1.0
greg mottola,6.717635187706672,3.0
jake kasdan,6.374108150165338,5.0
diane keaton,6.173513583608897,1.0
kelly makin,6.356846916942229,1.0
stephen daldry,6.934108150165338,5.0
christian duguay,6.077297357379054,2.0
justin chadwick,6.591583071664767,2.0
pat o'connor,6.50684691694223,1.0
frederik du chau,6.248725928807625,2.0
irwin winkler,6.460120166850375,4.0
joseph kahn,6.020154500236196,2.0
sofia coppola,6.671231277961486,4.0
stephen kay,5.917635187706672,3.0
j.a. bayona,6.777297357379054,2.0
elaine may,6.090180250275563,1.0
dennie gordon,5.993453500183708,4.0
charles shyer,6.423513583608897,1.0
ulu grosbard,6.440180250275563,1.0
william malone,5.891583071664768,2.0
malcolm d. lee,6.0700901251377815,7.0
jerry jameson,6.048725928807626,2.0
mic rodgers,6.0735135836088965,1.0
christian alvart,6.4772973573790535,2.0
jean-marie poiré,6.392635187706672,3.0
marc f. adler,6.123513583608896,1.0
geoffrey sax,6.134440214521911,2.0
richard shepard,6.530135187706672,3.0
peter ho-sun chan,6.5735135836088965,1.0
joon-ho bong,6.55684691694223,1.0
jeff nathanson,6.340180250275563,1.0
s.s. rajamouli,6.790180250275562,1.0
charles s. dutton,6.273513583608896,1.0
jonathan lynn,6.571231277961486,4.0
david carson,6.4901802502755634,1.0
kar-wai wong,6.6301351877066725,3.0
yuefeng song,6.456846916942229,1.0
norman jewison,6.584108150165338,5.0
david mirkin,6.423513583608897,1.0
luis mandoki,6.2915830716647685,2.0
lee daniels,6.691583071664768,2.0
jeb stuart,6.491583071664769,2.0
steve miner,6.114108150165338,5.0
